label,message
ham,"Ok lar... Joking wif u oni..."
ham,"Please call our customer service representative on 0800 890 1289"
spam,"Congratulations! You have won a free ticket to Bahamas. Call now!"
ham,"I will be there at 6pm, see you then."
spam,"WINNER! Claim your $1000 gift card by replying YES now."
ham,"Hey buddy, are we still good for lunch tomorrow?"
spam,"You have been selected for a free cruise. Text YES to 87077 now."
ham,"Please bring the documents to the meeting."
spam,"URGENT! Your account has been suspended. Verify at http://secure.bank/login"
ham,"Can you send me the report by end of day?"
spam,"Limited time offer! Buy one get one free on all products."
ham,"See you at the gym later."
spam,"FREE entry into a £250 weekly competition. Just text WIN to 80085."
ham,"Thanks for the gift, I really appreciate it."
spam,"You have a 1 chance in 2 to win $1000. Enter now!"
ham,"I've left the package on your desk."
spam,"You won’t believe this one weird trick to lose weight fast."
ham,"I'll drop by after work and pick up the keys."
spam,"Get a new mobile for just $1. Click here: http://tinyurl.com/offer"
ham,"Your doctor appointment is confirmed for Monday at 9am."
spam,"FREE ringtone now! Text MUSIC to 12345 to get it instantly."
ham,"I'm running late, please start without me."
spam,"Your phone number has won a cash prize! Send your bank details to claim."
ham,"Happy birthday! Hope you have an amazing day."
spam,"You have been chosen to adopt a huge discount. Reply CLAIM to activate."
ham,"Can you pick up some milk on your way home?"
spam,"Exclusive deal on electronics. Visit our store now to save 50%!"
ham,"Don't forget our video call tonight at 8 PM."
spam,"Get approved for a loan in seconds, bad credit no problem."
ham,"Please confirm the reservation for Saturday."
spam,"Congratulations, your subscription has been renewed successfully."
ham,"I'll text you the address in a few minutes."
spam,"Earn extra cash from home working part-time. Reply YES to learn more."
ham,"The weather is great today, let's go for a walk."
spam,"HOT deal today only: 70% off selected items. Shop now!"
spam,"Claim your free vacation package by calling 0800 123 4567 now."
spam,"FREE trial of our new service when you sign up within 24 hours."
